list-none-none,1,10,1,30,115054,3835
list-none-none,1,100,1,300,110563,368
list-none-none,1,1000,1,3000,241437,80
list-none-none,1,10000,1,30000,485164,16
list-none-none,1,20000,1,60000,1317801,21
list-none-none,2,1,1,6,133666,22277
list-none-none,2,10,1,60,94805,1580
list-none-none,2,100,1,600,292571,487
list-none-none,4,1,1,12,440014,36667
list-none-none,4,10,1,120,619259,5160
list-none-none,4,100,1,1200,397518,331
list-none-none,8,1,1,24,260417,10850
list-none-none,8,10,1,240,251889,1049
list-none-none,8,100,1,2400,248361,103
list-none-none,12,1,1,36,1889385,52482
list-none-none,12,10,1,360,1833750,5093
list-i-none,2,1,1,6,294972,49162
list-i-none,2,2,1,12,297445,24787
list-i-none,2,4,1,24,286778,11949
list-i-none,2,8,1,48,384515,8010
list-i-none,4,1,1,12,551299,45941
list-i-none,4,2,1,24,580000,24166
list-i-none,4,4,1,48,628165,13086
list-i-none,4,8,1,96,636081,6625
list-i-none,8,1,1,24,1179183,49132
list-i-none,8,2,1,48,1146366,23882
list-i-none,8,4,1,96,1222977,12739
list-i-none,8,8,1,192,1307479,6809
list-i-none,12,1,1,36,1736825,48245
list-i-none,12,2,1,72,1610126,22362
list-i-none,12,4,1,144,1720473,11947
list-i-none,12,8,1,288,1831983,6361
list-d-none,2,1,1,6,291577,48596
list-d-none,2,2,1,12,312501,26041
list-d-none,2,8,1,48,379047,7896
list-d-none,4,1,1,12,525237,43769
list-d-none,4,2,1,24,479419,19975
list-d-none,4,4,1,48,511473,10655
list-d-none,4,16,1,192,489827,2551
list-d-none,4,32,1,384,434165,1130
list-d-none,8,1,1,24,1014603,42275
list-d-none,8,2,1,48,1222133,25461
list-d-none,8,4,1,96,1179884,12290
list-d-none,8,32,1,768,1044151,1359
list-d-none,12,1,1,36,1663235,46200
list-d-none,12,2,1,72,1608561,22341
list-d-none,12,4,1,144,1728264,12001
list-d-none,12,8,1,288,1700775,5905
list-il-none,2,1,1,6,282516,47086
list-il-none,2,2,1,12,230473,19206
list-il-none,2,4,1,24,263275,10969
list-il-none,2,8,1,48,226697,4722
list-il-none,4,1,1,12,452470,37705
list-il-none,4,2,1,24,503080,20961
list-il-none,4,4,1,48,553508,11531
list-il-none,8,1,1,24,1046727,43613
list-il-none,8,2,1,48,1241599,25866
list-il-none,12,1,1,36,1612500,44791
list-il-none,12,2,1,72,1524531,21174
list-il-none,12,8,1,288,1684197,5847
list-dl-none,2,1,1,6,232487,38747
list-dl-none,2,2,1,12,232463,19371
list-dl-none,2,4,1,24,331922,13830
list-dl-none,2,8,1,48,385287,8026
list-dl-none,2,16,1,96,259430,2702
list-dl-none,2,32,1,192,367200,1912
list-dl-none,4,1,1,12,455554,37962
list-dl-none,4,2,1,24,494612,20608
list-dl-none,4,4,1,48,555743,11577
list-dl-none,8,1,1,24,1057105,44046
list-dl-none,8,2,1,48,785249,16359
list-dl-none,8,4,1,96,1124788,11716
list-dl-none,8,8,1,192,976397,5085
list-dl-none,12,1,1,36,1896162,52671
list-dl-none,12,2,1,72,1515358,21046
list-i-m,12,1,1,36,790140,21948
list-i-m,12,2,1,72,940309,13059
list-i-m,12,4,1,144,1295875,8999
list-i-m,12,8,1,288,1744542,6057
list-i-m,12,16,1,576,3955533,6867
list-i-m,12,32,1,1152,7339285,6370
list-d-m,12,1,1,36,1544598,42905
list-d-m,12,2,1,72,1901186,26405
list-d-m,12,4,1,144,1978660,13740
list-d-m,12,8,1,288,1096662,3807
list-d-m,12,16,1,576,3562625,6185
list-d-m,12,32,1,1152,4874870,4231
list-il-m,12,1,1,36,1530058,42501
list-il-m,12,2,1,72,1624062,22556
list-il-m,12,4,1,144,1548564,10753
list-il-m,12,8,1,288,3244514,11265
list-il-m,12,16,1,576,7683508,13339
list-il-m,12,32,1,1152,18066794,15682
list-dl-m,12,1,1,36,1718590,47738
list-dl-m,12,2,1,72,1609170,22349
list-dl-m,12,4,1,144,1653610,11483
list-dl-m,12,8,1,288,2040484,7085
list-dl-m,12,16,1,576,2787261,4838
list-dl-m,12,32,1,1152,8958352,7776
list-i-s,12,1,1,36,380393,10566
list-i-s,12,2,1,72,364330,5060
list-i-s,12,4,1,144,407712,2831
list-i-s,12,8,1,288,545473,1894
list-i-s,12,16,1,576,843443,1464
list-i-s,12,32,1,1152,2013914,1748
list-d-s,12,1,1,36,379284,10535
list-d-s,12,2,1,72,395706,5495
list-d-s,12,4,1,144,1483770,10303
list-d-s,12,8,1,288,549891,1909
list-d-s,12,16,1,576,1650660,2865
list-d-s,12,32,1,1152,1496017,1298
list-il-s,12,1,1,36,430135,11948
list-il-s,12,2,1,72,576220,8003
list-il-s,12,4,1,144,857293,5953
list-il-s,12,8,1,288,1508470,5237
list-il-s,12,16,1,576,1731213,3005
list-il-s,12,32,1,1152,13942753,12103
list-dl-s,12,1,1,36,1617546,44931
list-dl-s,12,2,1,72,1608125,22335
list-dl-s,12,4,1,144,1683887,11693
list-dl-s,12,8,1,288,1750478,6078
list-dl-s,12,16,1,576,8375292,14540
list-dl-s,12,32,1,1152,8296286,7201
list-none-s,1,1000,1,3000,1748705,582
list-none-s,2,1000,1,6000,2441224,406
list-none-s,4,1000,1,12000,5534588,461
list-none-s,8,1000,1,24000,10945505,456
list-none-s,12,1000,1,36000,15184098,421
list-none-s,16,1000,1,48000,23426178,488
list-none-s,24,1000,1,72000,42456023,589
list-none-m,1,1000,1,3000,237835,79
list-none-m,2,1000,1,6000,8785674,1464
list-none-m,4,1000,1,12000,17193070,1432
list-none-m,8,1000,1,24000,35586167,1482
list-none-m,12,1000,1,36000,56983015,1582
list-none-m,16,1000,1,48000,53399462,1112
list-none-m,24,1000,1,72000,101215971,1405
